question_id,question,answer,accuracy,relevance,conciseness,helpfulness,overall,rubric,judge_mode
1,Nghị định 13/2023/ND-CP quy định về nội dung gì?,"Nghị định 13/2023/NĐ-CP quy định về bảo vệ dữ liệu cá nhân và trách nhiệm bảo vệ dữ liệu cá nhân của cơ quan, tổ chức, cá nhân có liên quan.",5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
2,"Nghị định 13 áp dụng với cơ quan, tổ chức, cá nhân nước ngoài tại đâu?","Nghị định 13 áp dụng với cơ quan, tổ chức, cá nhân nước ngoài tại Việt Nam.",5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
3,"Theo Điều 2, dữ liệu cá nhân là gì?","Dữ liệu cá nhân được định nghĩa là thông tin dưới dạng ký hiệu, chữ viết, chữ số, hình ảnh, âm thanh hoặc dạng tương tự trên môi trường điện tử gắn liên với một con người cụ thể hoặc giúp xác định một con người cụ thể.",5,5,4,5,4.75,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
4,Hình ảnh của cá nhân thuộc loại dữ liệu nào?,Không tìm thấy thông tin trong tài liệu.,1,1,5,1,1.5,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
5,"Thông tin về đời sống tình dục, xu hướng tình dục là dữ liệu gì?","Thông tin về đời sống tình dục, xu hướng tình dục là dữ liệu cá nhân nhạy cảm.",4,4,4,4,4.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
6,Xử lý dữ liệu cá nhân gồm những hoạt động nào?,"Các hoạt động liên quan đến việc xử lý dữ liệu cá nhân bao gồm: thu thập, ghi, phân tích, xác nhận, lưu trữ, chỉnh sửa, công khai, kết hợp, truy cập, truy xuất, thụ hỏi, mã hóa, giải mã, sao chép, chia sẻ, truyền đưa, cung cấp, chuyển giao, xóa, hủy dữ liệu.",5,5,4,5,4.75,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
7,"Nguyên tắc nào yêu cầu dữ liệu phải thu thập phù hợp, giới hạn?",Không tìm thấy thông tin trong tài liệu.,1,1,5,1,1.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
8,Dữ liệu cá nhân có được mua bán không?,"Dữ liệu cá nhân không được mua, bán dưới mọi hình thức, trừ khi có sự đồng ý rõ ràng từ cá nhân liên quan.",5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
9,Dữ liệu cá nhân được lưu trữ trong bao lâu?,"Dữ liệu cá nhân chỉ được lưu trữ trong khoảng thời gian phù hợp với mục đích xử lý dữ liệu, trừ trường hợp pháp luật có quy định khác.",5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
10,Vi phạm quy định bảo vệ dữ liệu cá nhân có thể bị xử lý thế nào?,"Vi phạm quy định bảo vệ dữ liệu cá nhân có thể bị xử lý kỷ luật, xử phạt vi phạm hành chính, hoặc xử lý hình sự tùy theo mức độ vi phạm.",5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
11,Ai thống nhất quản lý nhà nước về bảo vệ dữ liệu cá nhân?,Chính phủ thống nhất quản lý nhà nước về bảo vệ dữ liệu cá nhân.,4,4,5,4,4.2,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
12,Nêu một hành vi bị nghiêm cấm theo Điều 8.,Một hành vi bị nghiêm cấm theo Điều 8 là xử lý dữ liệu cá nhân trái với quy định của pháp luật về bảo vệ dữ liệu cá nhân.,5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
13,Chủ thể dữ liệu có quyền phản đối xử lý dữ liệu để làm gì?,Chủ thể dữ liệu có quyền phản đối việc xử lý dữ liệu cá nhân của mình nhằm ngăn chặn hoặc hạn chế việc xử lý đó.,5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
14,Yêu cầu hạn chế xử lý dữ liệu phải được thực hiện trong bao lâu?,"Việc hạn chế xử lý dữ liệu được thực hiện trong 72 giờ sau khi có yêu cầu của chủ thể dữ liệu, trừ trường hợp luật có quy định khác.",5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
15,Bên kiểm soát phải thực hiện yêu cầu phản đối xử lý dữ liệu trong bao lâu?,Không tìm thấy thông tin trong tài liệu.,1,1,5,1,1.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
16,Một nghĩa vụ của chủ thể dữ liệu theo Điều 10 là gì?,Một nghĩa vụ của chủ thể dữ liệu theo Điều 10 là tự bảo vệ dữ liệu cá nhân của mình.,3,4,4,3,3.5,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
17,Sự im lặng của chủ thể dữ liệu có được coi là đồng ý không?,Sự im lặng hoặc không phản hồi của chủ thể dữ liệu không được coi là sự đồng ý.,5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
18,Sự đồng ý hợp lệ cần chủ thể dữ liệu biết rõ những gì?,"Sự đồng ý hợp lệ cần chủ thể dữ liệu biết rõ các thông tin sau:  
a) Loại dữ liệu cá nhân được xử lý;  
b) Mục đích xử lý dữ liệu cá nhân;  
c) Tổ chức, cá nhân được xử lý dữ liệu cá nhân;  
d) Các quyền, nghĩa vụ của chủ thể dữ liệu.",5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
